Chapter,Type,Word,Meaning
37,표제어,awkward,"a.어색한, 서투른, 난처한"
37,연관어,awkwardly,ad.어색하게
7,표제어,ban,v.금지하다
24,표제어,bargain,"n.흥정, 거래, 싸게 산 물건"
25,표제어,barren,"a.불모의, 메마른"
45,표제어,barrier,"n.장애물, 장벽"
16,표제어,be about to V,v.막 ~하려고 하다
20,표제어,be followed by,v.~가 뒤따르다
20,표제어,be made up of,v.구성되다
1,표제어,bear,"v.견디다, 낳다, 피우다[맺다] n.곰"
1,연관어,bearable,a.견딜 수 있는
18,표제어,behave,v.행동하다
18,연관어,behavior,"n.행동, 품행"
18,연관어,behavioral,"a.행동의, 행동에 관한"
17,표제어,belong,"v.속하다, 소속감을 느끼다"
17,연관어,belonging,"n.소속감, 소지품"
6,표제어,bend,v.구부리다
18,표제어,benefit,"n.이익, 혜택"
18,연관어,beneficial,"a.유익한, 이로운"
15,표제어,benevolence,"n.자비, 선행"
16,표제어,bias,"n.편견, 편향"
16,연관어,biased,"a.편향된, 선입견이 있는"
16,연관어,unbiased,a.편견 없는
,연관어,be bound to V,"v.~할 수밖에 없다, ~하기로 되어 있다"
29,표제어,biological,"a.생물학의, 생물학적인"
29,연관어,biologist,n.생물학자
29,연관어,biology,n.생물학
7,표제어,bitter,"a.맛이 쓴, 혹독한"
37,표제어,blame,"v.~을 탓하다 n.책임, 탓"
30,표제어,blend,"v.혼합하다, 섞다, 조화를 이루다 n.혼합(물)"
4,표제어,blunt,a.무딘 v.둔화시키다
3,표제어,boast,v.자랑하다 n.자랑
28,표제어,bold,"a.용감한, 선명한, 굵은"
28,연관어,boldness,"n.대담함, 용기"
22,표제어,bond,"n.유대 v.유대감을 형성하다, 접착시키다"
24,표제어,boost,"n.상승, 증대 v.증가시키다, 북돋우다"
29,표제어,boredom,n.지루함
21,표제어,bother,"v.방해하다, 괴롭히다, 성가시게 하다"
21,연관어,bothersome,a.성가신
10,표제어,boundary,"n.경계, 한계"
10,연관어,boundless,"a.끝없는, 무한한"
41,표제어,brave,a.용감한
41,연관어,bravery,"n.용기, 용맹"
41,연관어,break down,v.분해되다
45,표제어,breathe,v.숨쉬다
45,연관어,breath,"n.호흡, 숨"
45,연관어,breathtaking,"a.숨 막히는, 굉장히 멋진"
19,표제어,breed,"v.번식하다  n.품종, 종류"
19,연관어,breeding,n.번식
30,표제어,brief,"a.간결한, 짧은, 단시간의 "
30,연관어,briefly,"ad.잠시, 간단히"
5,표제어,brilliant,"a.훌륭한, 눈부신"
,연관어,bring about,"v.가져오다, 초래하다, 발생시키다"
33,표제어,broaden,"v.넓히다, 확장하다"
